id,name,status,decision_reason,primary_category,description,repository,repository_url,owner,forge_kind,forge_host,homepage,license_spdx,license_class,capabilities,language,created_at,pushed_at,latest_release_at,project_age_days,days_since_push,days_since_release,archived,visibility,has_docs,has_tests,has_ci,pypi_packages,conda_packages,julia_packages,julia_registry_status
a1das,a1das,watchlist,"The default branch publishes a README and no source, so there is nothing to reuse or review; the code described in it is not in the repository.",data-management,Python reader and processing routines for Febus Optics DAS data.,coutanto/a1das,https://github.com/coutanto/a1das,coutanto,github,github.com,,,unlicensed,conversion;io;processing,,2020-06-26T15:58:03Z,2023-12-18T15:28:41Z,,2243,973,,False,public,False,False,False,,,,not_applicable
alakoro-fibersense,Alakoro FiberSense,included,"Reusable DFOS platform with an MIT license, packaging, and documentation. The README advertises a PyPI release that does not resolve, so no registry name is declared.",application-domain,Multi-modal DFOS processing and simulation platform for oil and gas wells.,Colombiano/Alakoro_FiberSense,https://github.com/Colombiano/Alakoro_FiberSense,Colombiano,github,github.com,,MIT,osi-approved,io;modeling;processing;visualization,Python,2026-07-11T21:26:42Z,2026-07-18T11:43:15Z,,37,30,,False,public,True,True,True,,,,not_applicable
cqi-das,cqi_das,included,Reusable DAS-specific quality-assessment package explicitly licensed under LGPL-3.0.,processing,Automatic channel-quality scoring for distributed acoustic sensing arrays.,B-CSI/cqi_das,https://github.com/B-CSI/cqi_das,B-CSI,github,github.com,,LGPL-3.0-only,osi-approved,machine-learning;processing;quality-control,Jupyter Notebook,2025-01-15T21:12:38Z,2025-10-21T08:52:50Z,,579,300,,False,public,False,False,False,,,,not_applicable
darkfiber,darkfiber,included,"Reusable DAS-specific detection engine under AGPL-3.0-or-later with tests, CI, and an archived release.",processing,Slowness-based coherence engine producing auditable DAS event verdicts.,Sirkraven/darkfiber,https://github.com/Sirkraven/darkfiber,Sirkraven,github,github.com,,AGPL-3.0-or-later,osi-approved,detection;processing;seismology,Python,2026-07-15T12:57:53Z,2026-08-07T12:22:11Z,2026-07-20T12:30:34Z,33,10,28,False,public,True,True,True,,,,not_applicable
das-anomaly,das-anomaly,included,Reusable DAS-specific package explicitly licensed under LGPL-3.0.,machine-learning-detection,Anomaly-detection methods and workflows for DAS datasets.,DASDAE/das-anomaly,https://github.com/DASDAE/das-anomaly,DASDAE,github,github.com,,LGPL-3.0-only,osi-approved,anomaly-detection;machine-learning;processing,Python,2024-07-03T00:33:26Z,2025-12-10T22:43:06Z,2025-12-09T18:23:42Z,775,250,251,False,public,True,True,True,das-anomaly,,,not_applicable
das-cc-gpu,DAS_CC_GPU,included,Reusable DAS-specific command-line toolchain in C and CUDA under GPL-3.0.,processing,GPU cross-correlation and preprocessing programs for DAS ambient-noise workflows.,zhichaoshen40/DAS_CC_GPU,https://github.com/zhichaoshen40/DAS_CC_GPU,zhichaoshen40,github,github.com,,GPL-3.0-only,osi-approved,parallel-computing;processing;seismology,C,2024-04-20T21:12:35Z,2024-08-08T15:51:13Z,2024-07-02T02:58:04Z,849,739,776,False,public,False,False,False,,,,not_applicable
das-convert-mirror,das-convert (Gitea mirror),excluded,Duplicate. This mirrors the already catalogued pyrocko/idas-convert and last moved in step with it.,out-of-scope,Gitea-hosted copy of the Pyrocko DAS conversion tool.,pyrocko/das-convert,https://git.pyrocko.org/pyrocko/das-convert,pyrocko,gitea,git.pyrocko.org,,GPL-3.0-only,osi-approved,conversion;io,,,,,,,,,,,,,,,,not_applicable
das-datakit,das-datakit,excluded,"Acronym collision. ""DAS"" here is a robotics Data Acquisition System with no connection to distributed acoustic sensing.",out-of-scope,Recording and format conversion for an embodied-AI Data Acquisition System.,genrobot-ai/das-datakit,https://github.com/genrobot-ai/das-datakit,genrobot-ai,github,github.com,,MIT,osi-approved,conversion;io,,,,,,,,,,,,,,,,not_applicable
das-levels,DAS_levels,included,"Reusable DAS conversion code published with no license file, which grants no reuse rights.",processing,Conversion of DAS-measured strain into acoustic pressure levels.,DAS4Whales/DAS_levels,https://github.com/DAS4Whales/DAS_levels,DAS4Whales,github,github.com,,,unlicensed,bioacoustics;processing,Python,2025-03-04T16:04:50Z,2025-03-11T21:06:07Z,2025-03-11T21:02:45Z,531,524,524,False,public,False,False,False,,,,not_applicable
das-metadata,DAS metadata tools,included,"Reusable DAS metadata tooling. The detected CC BY license is a content license that does not clearly establish reuse terms for the code, so the class is unknown rather than open.",interoperability,Community tools and examples for standardizing DAS metadata.,DAS-RCN/DAS_metadata,https://github.com/DAS-RCN/DAS_metadata,DAS-RCN,github,github.com,,CC-BY-4.0,unknown,interoperability;metadata,,2022-08-23T23:47:50Z,2025-02-24T00:14:30Z,,1455,539,,False,public,False,False,True,,,,not_applicable
das-n2n,DAS-N2N-torch,included,"Reusable DAS denoising package with GPL-3.0 licensing, packaging metadata, and distributed model weights.",machine-learning-detection,PyTorch implementation of coherence-based Noise2Noise denoising for DAS data.,sachalapins/DAS-N2N-torch,https://github.com/sachalapins/DAS-N2N-torch,sachalapins,github,github.com,,GPL-3.0-only,osi-approved,denoising;machine-learning;processing,Python,2025-01-20T16:23:34Z,2026-03-27T10:57:27Z,,574,143,,False,public,False,False,False,,,,not_applicable
das-realtime,DAS-realtime,included,Reusable DAS-specific framework with GPL-3.0 licensing and an operational interface.,machine-learning-detection,Real-time DAS processing components for operational earthquake monitoring.,Caltech-DASHub/DAS-realtime,https://github.com/Caltech-DASHub/DAS-realtime,Caltech-DASHub,github,github.com,,GPL-3.0-only,osi-approved,machine-learning;phase-picking;seismology;streaming,Python,2024-07-11T20:09:10Z,2026-04-06T23:44:42Z,,767,133,,False,public,False,False,False,,,,not_applicable
